name	type	units
TIME_STAMP_s	MISC	n/a
TIME_STAMP_ms	MISC	n/a
OR_TIME_STAMP_s	MISC	n/a
OR_TIME_STAMP_ms	MISC	n/a
COUNTER	MISC	n/a
INTERPOLATED	MISC	n/a
AF3	EEG	uV
F7	EEG	uV
F3	EEG	uV
FC5	EEG	uV
T7	EEG	uV
P7	EEG	uV
O1	EEG	uV
O2	EEG	uV
P8	EEG	uV
T8	EEG	uV
FC6	EEG	uV
F4	EEG	uV
F8	EEG	uV
AF4	EEG	uV
RAW_CQ	MISC	n/a
BATTERY	MISC	n/a
BATTERY_PERCENT	MISC	n/a
MarkerIndex	MISC	n/a
MarkerType	MISC	n/a
MarkerValueInt	MISC	n/a
MARKER_HARDWARE	MISC	n/a
CQ_AF3	MISC	n/a
CQ_F7	MISC	n/a
CQ_F3	MISC	n/a
CQ_FC5	MISC	n/a
CQ_T7	MISC	n/a
CQ_P7	MISC	n/a
CQ_O1	MISC	n/a
CQ_O2	MISC	n/a
CQ_P8	MISC	n/a
CQ_T8	MISC	n/a
CQ_FC6	MISC	n/a
CQ_F4	MISC	n/a
CQ_F8	MISC	n/a
CQ_AF4	MISC	n/a
CQ_Overall	MISC	n/a
EQ_SampleRateQua	MISC	n/a
EQ_OVERALL	MISC	n/a
EQ_AF3	MISC	n/a
EQ_F7	MISC	n/a
EQ_F3	MISC	n/a
EQ_FC5	MISC	n/a
EQ_T7	MISC	n/a
EQ_P7	MISC	n/a
EQ_O1	MISC	n/a
EQ_O2	MISC	n/a
EQ_P8	MISC	n/a
EQ_T8	MISC	n/a
EQ_FC6	MISC	n/a
EQ_F4	MISC	n/a
EQ_F8	MISC	n/a
EQ_AF4	MISC	n/a
CQ_CMS	MISC	n/a
